A S	1.00	1.00	0.00
A&L	1.86	2.00	0.89
A&S	1.00	1.00	0.00
AAP	5.19	2.00	5.39
AAS	9.93	2.00	27.88
AC	1.00	1.00	0.00
ACC	1.66	1.00	1.48
ADC	1.00	1.00	0.00
ADM	1.47	1.00	0.85
ADV	2.61	2.00	2.08
AED	12.20	2.00	21.23
AES	1.00	1.00	0.00
AFS	1.24	1.00	0.48
AHI	10.95	1.00	26.41
AIB	1.64	1.00	0.77
AMH	1.00	1.00	0.00
AMS	3.45	1.00	6.96
ANA	20.89	1.00	46.57
ANE	0.63	0.00	0.90
ANT	1.00	1.00	0.00
AP	23.56	5.00	36.11
APC	2.00	1.00	1.41
APS	6.54	3.00	7.70
APY	9.15	2.00	21.07
ARA	2.84	2.00	3.21
ARC	9.60	2.00	21.01
ARI	11.94	14.00	8.71
ARK	1.06	1.00	0.23
ART	6.09	2.00	9.24
AS	5.78	2.00	7.48
ASE	10.79	5.00	11.93
ASI	7.00	1.00	9.06
ASL	15.84	18.00	4.96
ATH	19.07	19.00	15.20
BAC	1.00	1.00	0.00
BCH	7.50	1.00	23.99
BCM	3.07	2.00	3.72
BCP	15.79	2.00	34.98
BCR	3.42	1.00	3.95
BDA	2.00	2.00	0.00
BE	8.44	1.00	14.05
BEH	10.34	2.00	23.22
BEO	1.00	1.00	0.00
BIE	1.00	1.00	0.00
BIO	16.44	2.00	50.49
BIP	1.21	1.00	0.41
BIR	2.00	1.00	3.43
BLW	1.57	1.00	0.84
BMA	3.31	1.00	10.95
BMC	2.43	1.00	2.63
BMI	0.67	1.00	0.47
BMS	12.37	7.00	13.95
BMT	1.20	1.00	0.40
BO	1.20	1.00	0.40
BPH	0.91	0.00	4.39
BPR	1.76	1.00	2.38
BSP	2.15	2.00	1.66
BSR	1.00	1.00	0.00
BST	1.00	1.00	0.00
BUS	1.55	1.00	1.01
BYR	3.28	1.00	4.64
CA	2.74	1.00	2.95
CAD	1.00	1.00	0.00
CAS	41.79	43.00	15.72
CB	1.37	1.00	0.83
CBC	1.30	1.00	0.46
CC	1.25	1.00	0.43
CCA	6.13	5.00	4.65
CCL	1.25	1.00	0.43
CCW	1.50	1.00	0.50
CD	1.00	1.00	0.00
CDC	2.58	1.00	2.06
